Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,3.96,1,81,3.94,358.70,1,17,11,1,1,7,76,1.7,10000,23.1,,2015-04-02,082446
,,200,1,1,3.96,1,81,3.94,358.80,1,17,11,1,1,7,76,0,10000,23.1,,2015-04-02,082456
,,200,1,1,3.96,1,81,3.94,358.70,1,16,9,1,1,7,76,1.3,10000,23.1,,2015-04-02,131210
,,200,1,8,3.98,1,81,3.94,358.70,1,17,9,1,1,7,76,0.8,10000,23.1,,2015-04-02,131220
,,200,1,1,3.96,1,81,3.94,358.60,1,16,9,1,1,7,76,2.7,10000,23.1,,2015-04-02,131230
,,200,1,1,3.96,1,81,3.94,358.70,1,16,9,1,5,7,76,0.6,10000,23.1,,2015-04-02,131240
,,200,1,1,3.96,1,81,3.92,358.60,1,16,9,1,5,7,76,3.1,10000,23.1,,2015-04-02,131250
,,200,1,1,3.96,1,81,3.92,358.50,1,16,9,1,5,7,76,2.9,10000,23.1,,2015-04-02,131300
,,200,1,1,3.96,1,81,3.92,358.00,1,16,9,1,5,7,76,9.4,10000,23.1,,2015-04-02,131310
,,200,1,1,3.96,1,81,3.92,358.60,1,16,9,1,1,7,76,0.9,10000,23.1,,2015-04-02,131320
,,200,1,1,3.96,1,81,3.92,358.60,1,16,9,1,5,7,76,0.9,10000,23.1,,2015-04-02,131330
,,200,1,1,3.96,1,81,3.92,358.60,1,17,9,1,2,7,76,1.1,10000,23.1,,2015-04-02,131340
,,200,1,1,3.94,1,81,3.9,356.30,1,17,9,1,1,7,75.6,30.3,10000,23,,2015-04-02,131350
,,200,1,47,3.92,1,12,3.86,354.30,1,16,9,1,1,7,75.6,45.1,10000,23,,2015-04-02,131400
,,200,1,32,3.9,1,40,3.84,352.20,1,16,9,1,1,7,75.6,64.1,10000,23,,2015-04-02,131410
