Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,200,1,54,4.12,1,1,4.1,374.10,1,17,9,1,3,6,93.6,1.4,10000,28.5,Invalid,2015-04-02,083722
Electric_Taxi,Tongzhou_District,200,1,54,4.12,1,1,4.1,374.20,1,17,9,1,1,7,93.6,0.9,10000,28.5,Invalid,2015-04-02,083732
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,8,8,1,2,6,93.6,1.4,10000,28.5,Invalid,2015-04-02,083742
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,8,8,1,2,6,93.6,0.8,10000,28.5,Invalid,2015-04-02,083752
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.20,1,17,9,1,1,7,93.6,0.8,10000,28.5,Invalid,2015-04-02,083802
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,8,8,1,2,6,93.6,1.3,10000,28.5,Invalid,2015-04-02,083812
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,17,9,1,3,6,93.6,1.3,10000,28.5,Invalid,2015-04-02,083822
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,19,9,1,4,6,93.6,0.7,10000,28.5,Invalid,2015-04-02,083832
Electric_Taxi,Tongzhou_District,200,1,1,4.1,1,1,4.1,374.10,1,7,8,1,3,6,93.6,0.7,10000,28.5,Invalid,2015-04-02,083842
Electric_Taxi,Tongzhou_District,200,1,54,4.12,1,1,4.1,374.10,1,19,9,1,1,7,93.6,0.7,10000,28.5,Invalid,2015-04-02,083852
