Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,4.02,1,1,4.02,367.50,1,17,11,1,1,8,82.8,0.7,10000,25.2,,2015-04-02,093014
,,200,1,1,4.02,1,1,4.02,367.50,1,17,11,1,1,8,82.8,0.6,10000,25.2,,2015-04-02,093024
,,200,1,1,4.02,1,1,4.02,367.50,1,17,11,1,1,8,82.8,0.6,10000,25.2,,2015-04-02,093034
,,200,1,1,4.02,1,1,4.02,367.50,1,17,11,1,1,8,82.8,0.6,10000,25.2,,2015-04-02,093044
,,200,1,1,4.02,1,1,4.02,367.50,1,16,11,1,1,8,82.8,0.7,10000,25.2,,2015-04-02,093054
,,200,1,1,4.02,1,1,4.02,367.50,1,17,12,1,1,8,82.8,0.8,10000,25.2,,2015-04-02,093105
,,200,1,1,4.02,1,1,4.02,367.50,1,17,12,1,14,8,82.8,0.9,10000,25.2,,2015-04-02,093115
,,200,1,1,4.02,1,1,4.02,367.50,1,16,11,1,1,8,82.8,0.8,10000,25.2,,2015-04-02,093125
,,200,1,1,4.02,1,1,4.02,367.50,1,17,11,1,1,8,82.8,0.9,10000,25.2,,2015-04-02,093135
,,200,1,1,4.02,1,1,4.02,367.30,1,17,12,1,1,8,82.8,3,10000,25.2,,2015-04-02,093145
,,200,1,1,4.02,1,1,4.02,367.50,1,16,11,1,1,8,82.8,0,10000,25.2,,2015-04-02,093155
,,200,1,1,4.02,1,1,4.02,367.50,1,16,11,1,12,8,82.8,0.6,10000,25.2,,2015-04-02,093420
,,200,1,1,4.02,1,1,4.02,367.40,1,17,11,1,1,8,82.8,1.2,10000,25.2,,2015-04-02,093430
,,200,1,1,4.02,1,1,4.02,367.40,1,17,11,1,1,8,82.8,0.9,10000,25.2,,2015-04-02,093440
,,200,1,68,4.02,1,40,3.98,365.80,1,16,11,1,1,8,82.8,24.2,10000,25.2,,2015-04-02,093450
,,200,1,3,4.02,1,1,4.0,366.80,1,17,11,1,1,8,82.8,4.8,10000,25.2,,2015-04-02,093500
,,200,1,1,4.02,1,40,4.0,367.00,1,17,12,1,14,8,82.8,1.6,10000,25.2,,2015-04-02,093510
,,200,1,3,4.02,1,1,4.0,365.10,1,17,11,1,1,8,82.8,31,10000,25.2,,2015-04-02,093520
,,200,1,12,4.02,1,1,4.0,366.40,1,17,11,1,1,8,82.8,10.3,10000,25.2,,2015-04-02,093530
,,200,1,60,4.0,1,12,3.96,364.10,1,17,12,1,3,8,82.4,37.7,10000,25.1,,2015-04-02,093540
,,200,1,1,4.0,1,60,3.98,365.30,1,16,11,1,1,8,82.4,18.4,10000,25.1,,2015-04-02,093550
,,200,1,1,4.0,1,5,3.98,363.70,1,16,11,1,1,8,82.4,41.7,10000,25.1,,2015-04-02,093600
,,200,1,24,4.0,1,1,3.98,364.50,1,16,11,1,1,8,82.4,22.6,10000,25.1,,2015-04-02,093610
,,200,1,1,4.0,1,12,3.98,365.30,1,17,11,1,1,8,82.4,9.7,10000,25.1,,2015-04-02,093620
,,200,1,1,4.02,1,40,4.0,367.00,1,17,11,1,3,7,82.4,-9.8,10000,25.1,,2015-04-02,093630
,,200,1,3,3.98,1,1,3.96,363.00,1,17,11,1,1,7,82.4,50.9,10000,25.1,,2015-04-02,093640
,,200,1,3,4.0,1,41,3.96,365.50,1,17,11,1,1,8,82,0.7,10000,25,,2015-04-02,093650
,,200,1,12,4.06,1,1,4.02,368.70,1,17,11,1,1,8,82,-46.6,10000,25,,2015-04-02,093700
,,200,1,1,4.0,1,1,4.0,366.10,1,17,11,1,3,7,82,1.1,10000,25,,2015-04-02,093710
,,200,1,28,4.02,1,1,4.0,366.20,1,17,11,1,1,8,82,0.7,10000,25,,2015-04-02,093720
,,200,1,28,4.02,1,1,4.0,366.20,1,16,11,1,1,8,82,0.7,10000,25,,2015-04-02,093730
,,200,1,21,4.02,1,1,4.0,366.30,1,16,11,1,14,8,82,0.7,10000,25,,2015-04-02,093740
,,200,1,21,4.02,1,1,4.0,366.30,1,17,12,1,14,8,82,0.8,10000,25,,2015-04-02,093750
