Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,40,3.92,360.40,1,17,22,1,1,17,76.4,35.3,10000,23.3,Invalid,2015-04-02,000001
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,12,3.92,360.20,1,17,22,1,1,16,76,34.5,10000,23.1,Invalid,2015-04-02,000011
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,40,3.92,360.50,1,17,22,1,1,17,76,22.3,10000,23.1,Invalid,2015-04-02,000021
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,361.30,1,17,22,1,1,17,76,2.6,10000,23.1,Invalid,2015-04-02,000031
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,362.10,1,17,22,1,1,17,76,-7.8,10000,23.1,Invalid,2015-04-02,000041
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,361.90,1,18,22,1,1,17,76,1.2,10000,23.1,Invalid,2015-04-02,000051
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,361.90,1,18,22,1,1,16,76,1.2,10000,23.1,Invalid,2015-04-02,000101
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,362.00,1,18,22,1,1,17,76,1.1,10000,23.1,Invalid,2015-04-02,000111
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,362.00,1,18,22,1,1,16,76,1.2,10000,23.1,Invalid,2015-04-02,000121
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,361.60,1,18,22,1,1,16,76,12.2,10000,23.1,Invalid,2015-04-02,000131
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,360.10,1,16,22,1,1,17,76,37.7,10000,23.1,Invalid,2015-04-02,000141
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,361.20,1,16,22,1,1,17,76,5.6,10000,23.1,Invalid,2015-04-02,000151
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,20,3.94,361.60,1,16,22,1,1,17,76,2.8,10000,23.1,Invalid,2015-04-02,000201
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,20,3.94,361.80,1,16,22,1,1,17,76,-0.1,10000,23.1,Invalid,2015-04-02,000211
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,361.80,1,18,22,1,1,16,76,1.1,10000,23.1,Invalid,2015-04-02,000221
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,30,3.94,361.90,1,18,22,1,1,16,76,1.1,10000,23.1,Invalid,2015-04-02,000231
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,57,3.94,361.80,1,18,22,1,1,16,76,2.3,10000,23.1,Invalid,2015-04-02,000241
Electric_Taxi,Tongzhou_District,200,1,5,3.96,1,1,3.94,361.30,1,18,22,1,1,16,76,16.8,10000,23.1,Invalid,2015-04-02,000251
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,361.70,1,18,22,1,1,16,75.6,6.3,10000,23,Invalid,2015-04-02,000301
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,361.30,1,18,22,1,1,16,75.6,12.6,10000,23,Invalid,2015-04-02,000311
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,361.80,1,18,22,1,1,16,75.6,1.1,10000,23,Invalid,2015-04-02,000321
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,361.90,1,18,22,1,1,16,75.6,1.1,10000,23,Invalid,2015-04-02,000331
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,360.10,1,16,22,1,1,17,75.6,37.8,10000,23,Invalid,2015-04-02,000341
Electric_Taxi,Tongzhou_District,200,1,13,3.96,1,1,3.94,361.50,1,16,22,1,1,17,75.6,-0.2,10000,23,Invalid,2015-04-02,000351
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,360.50,1,16,22,1,1,17,75.6,22.8,10000,23,Invalid,2015-04-02,000401
Electric_Taxi,Tongzhou_District,200,1,7,3.94,1,12,3.9,359.30,1,16,22,1,1,17,75.6,42.2,10000,23,Invalid,2015-04-02,000411
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,360.80,1,16,22,1,1,17,75.6,2.6,10000,23,Invalid,2015-04-02,000421
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,361.00,1,16,22,1,1,17,75.2,4.7,10000,22.9,Invalid,2015-04-02,000431
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,5,3.94,361.40,1,16,22,1,1,17,75.6,1.5,10000,23,Invalid,2015-04-02,000441
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,361.50,1,18,22,1,1,16,75.6,1.5,10000,23,Invalid,2015-04-02,000451
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,4,3.94,361.50,1,18,22,1,1,16,75.6,1.4,10000,23,Invalid,2015-04-02,000501
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,3,3.94,361.60,1,18,22,1,1,16,75.6,1.4,10000,23,Invalid,2015-04-02,000511
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,6,3.94,361.60,1,18,22,1,1,16,75.2,1.4,10000,22.9,Invalid,2015-04-02,000521
Electric_Taxi,Tongzhou_District,200,1,7,3.94,1,12,3.88,359.80,1,16,22,1,1,17,75.2,34.8,10000,22.9,Invalid,2015-04-02,000531
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,10,3.92,360.70,1,16,22,1,1,17,75.2,4.6,10000,22.9,Invalid,2015-04-02,000541
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,57,3.94,361.50,1,16,22,1,1,17,75.2,-4.6,10000,22.9,Invalid,2015-04-02,000551
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,361.10,1,16,22,1,1,17,75.2,3.2,10000,22.9,Invalid,2015-04-02,000601
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,361.20,1,18,22,1,1,16,75.2,4.2,10000,22.9,Invalid,2015-04-02,000611
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,361.40,1,18,22,1,1,16,75.2,1.7,10000,22.9,Invalid,2015-04-02,000621
Electric_Taxi,Tongzhou_District,200,1,7,3.96,1,1,3.94,361.40,1,18,22,1,1,16,75.2,1.4,10000,22.9,Invalid,2015-04-02,000631
