Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,0.0,1,1,0.0,.00,1,1,0,1,1,0,0,0,0,0,,2015-04-02,061143
,,200,1,1,4.1,1,1,4.1,373.20,1,17,12,1,3,8,93.6,0.8,10000,28.5,,2015-04-02,061902
,,200,1,1,4.1,1,1,4.1,373.10,1,17,12,1,3,7,93.6,0.8,10000,28.5,,2015-04-02,061912
,,200,1,1,4.1,1,1,4.1,373.10,1,17,12,1,14,8,93.6,0.8,10000,28.5,,2015-04-02,061922
,,200,1,1,4.1,1,1,4.1,373.20,1,17,12,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,061932
,,200,1,1,4.1,1,1,4.1,373.20,1,17,12,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,061942
,,200,1,1,4.1,1,1,4.1,373.20,1,17,12,1,14,8,93.2,0.6,10000,28.4,,2015-04-02,061952
,,200,1,1,4.1,1,1,4.1,373.20,1,17,12,1,3,8,93.2,0.6,10000,28.4,,2015-04-02,062002
,,200,1,1,4.1,1,1,4.1,373.10,1,17,12,1,3,7,93.2,0.7,10000,28.4,,2015-04-02,062012
,,200,1,2,4.1,1,1,4.08,372.60,1,17,12,1,14,8,93.2,8.2,10000,28.4,,2015-04-02,062022
,,200,1,1,4.1,1,1,4.1,372.90,1,17,12,1,1,8,93.2,2.7,10000,28.4,,2015-04-02,062032
,,200,1,2,4.1,1,1,4.08,372.60,1,17,12,1,3,7,93.2,7,10000,28.4,,2015-04-02,062042
,,200,1,2,4.1,1,1,4.08,372.90,1,17,12,1,3,7,93.2,1.9,10000,28.4,,2015-04-02,062052
,,200,1,1,4.1,1,1,4.1,373.00,1,17,12,1,3,8,93.2,0.7,10000,28.4,,2015-04-02,062102
,,200,1,3,4.1,1,1,4.08,372.40,1,17,12,1,3,7,93.2,9.5,10000,28.4,,2015-04-02,062112
,,200,1,1,4.1,1,1,4.1,372.90,1,17,12,1,3,7,93.2,1.1,10000,28.4,,2015-04-02,062122
,,200,1,2,4.1,1,1,4.08,372.60,1,17,12,1,3,7,93.2,6.1,10000,28.4,,2015-04-02,062132
