Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,4.0,1,20,3.98,364.80,1,17,12,1,3,8,79.6,0.5,10000,24.2,,2015-04-02,065612
,,200,1,1,4.0,1,20,3.98,364.70,1,17,12,1,3,8,79.6,1.6,10000,24.2,,2015-04-02,065622
,,200,1,1,4.0,1,1,4.0,364.80,1,17,12,1,2,8,79.6,1,10000,24.2,,2015-04-02,065632
,,200,1,1,4.0,1,20,3.98,364.70,1,17,12,1,1,8,79.6,1.5,10000,24.2,,2015-04-02,065642
,,200,1,1,4.0,1,18,3.98,364.70,1,17,12,1,1,8,79.6,1.8,10000,24.2,,2015-04-02,065652
,,200,1,1,4.0,1,10,3.98,364.70,1,17,12,1,1,8,79.6,1,10000,24.2,,2015-04-02,065702
,,200,1,1,4.0,1,10,3.98,364.60,1,16,12,1,3,8,79.6,1.7,10000,24.2,,2015-04-02,065712
,,200,1,1,4.0,1,20,3.98,364.60,1,17,12,1,3,7,79.6,2.9,10000,24.2,,2015-04-02,065722
,,200,1,1,3.98,1,1,3.98,362.80,1,17,12,1,1,8,79.2,29.5,10000,24.1,,2015-04-02,065752
,,200,1,1,4.0,1,10,3.98,363.70,1,17,12,1,1,8,79.2,8.7,10000,24.1,,2015-04-02,065802
,,200,1,1,3.98,1,12,3.96,363.30,1,16,12,1,3,8,79.2,13.4,10000,24.1,,2015-04-02,065812
,,200,1,1,3.98,1,20,3.96,362.90,1,17,12,1,1,9,79.2,15.1,10000,24.1,,2015-04-02,065832
,,200,1,1,3.98,1,8,3.96,362.80,1,17,12,1,1,8,79.2,16,10000,24.1,,2015-04-02,065842
,,200,1,1,3.98,1,2,3.96,362.50,1,16,12,1,3,8,79.2,18.7,10000,24.1,,2015-04-02,065852
,,200,1,60,3.98,1,1,3.96,362.20,1,16,12,1,1,9,79.2,23.2,10000,24.1,,2015-04-02,065902
,,200,1,1,3.94,1,12,3.9,360.20,1,17,12,1,3,8,78.8,45.1,10000,24,,2015-04-02,065912
,,200,1,1,3.98,1,10,3.96,362.30,1,16,12,1,3,8,78.8,19.4,10000,24,,2015-04-02,065922
,,200,1,1,3.96,1,20,3.94,361.40,1,16,12,1,1,9,78.8,31.3,10000,24,,2015-04-02,065932
,,200,1,1,3.96,1,1,3.96,361.70,1,17,12,1,1,8,78.8,21.8,10000,24,,2015-04-02,065942
,,200,1,1,3.96,1,12,3.94,361.90,1,18,13,1,1,9,78.8,19.2,10000,24,,2015-04-02,065952
,,200,1,1,3.96,1,12,3.94,361.60,1,17,12,1,1,8,78.8,21.4,10000,24,,2015-04-02,070002
,,200,1,1,3.96,1,1,3.96,361.70,1,16,12,1,3,8,78.4,20,10000,23.9,,2015-04-02,070012
,,200,1,1,3.96,1,40,3.94,361.70,1,17,12,1,3,8,78.4,16.9,10000,23.9,,2015-04-02,070022
,,200,1,1,3.96,1,12,3.94,361.50,1,16,12,1,1,9,78.4,20.3,10000,23.9,,2015-04-02,070032
,,200,1,1,3.98,1,1,3.98,362.80,1,17,12,1,3,8,78.4,1.1,10000,23.9,,2015-04-02,070042
,,200,1,1,3.98,1,10,3.96,362.50,1,16,12,1,3,8,78.4,8.2,10000,23.9,,2015-04-02,070052
,,200,1,1,3.98,1,6,3.96,362.60,1,17,12,1,1,8,78.4,7.5,10000,23.9,,2015-04-02,070102
,,200,1,1,3.98,1,1,3.98,363.30,1,16,12,1,1,9,78.4,-3.1,10000,23.9,,2015-04-02,070112
,,200,1,1,3.98,1,20,3.96,363.20,1,17,12,1,1,8,78.4,0.7,10000,23.9,,2015-04-02,070122
,,200,1,1,3.96,1,20,3.94,361.40,1,17,12,1,1,9,78.4,25.9,10000,23.9,,2015-04-02,070132
,,200,1,1,3.96,1,12,3.94,361.10,1,16,12,1,1,9,78.4,25.3,10000,23.9,,2015-04-02,070142
,,200,1,1,3.96,1,1,3.96,361.60,1,17,12,1,1,8,78.4,18.4,10000,23.9,,2015-04-02,070152
,,200,1,1,3.96,1,40,3.94,361.70,1,17,12,1,1,9,78.4,16.1,10000,23.9,,2015-04-02,070202
,,200,1,1,3.96,1,1,3.96,361.70,1,16,12,1,3,8,78,14.9,10000,23.7,,2015-04-02,070212
,,200,1,1,3.96,1,1,3.96,361.90,1,17,12,1,1,8,78,11.6,10000,23.7,,2015-04-02,070222
,,200,1,1,3.96,1,1,3.96,361.90,1,17,12,1,1,9,78,12.1,10000,23.7,,2015-04-02,070232
,,200,1,1,3.96,1,12,3.94,361.30,1,16,12,1,3,8,78,20,10000,23.7,,2015-04-02,070242
,,200,1,1,3.96,1,20,3.94,361.40,1,17,12,1,1,8,78,15.4,10000,23.7,,2015-04-02,070252
,,200,1,1,3.96,1,1,3.96,361.50,1,17,12,1,3,8,78,13.4,10000,23.7,,2015-04-02,070302
,,200,1,1,3.98,1,1,3.98,363.40,1,16,12,1,1,9,78,-12.5,10000,23.7,,2015-04-02,070312
,,200,1,1,3.98,1,10,3.96,362.60,1,8,12,1,3,8,78,0.3,10000,23.7,,2015-04-02,070322
,,200,1,1,3.98,1,10,3.96,362.70,1,16,12,1,3,8,78,0.7,10000,23.7,,2015-04-02,070332
,,200,1,1,3.98,1,10,3.96,362.70,1,17,12,1,1,8,78,0.7,10000,23.7,,2015-04-02,070342
,,200,1,1,3.98,1,10,3.96,362.80,1,17,12,1,1,8,78,0.7,10000,23.7,,2015-04-02,070352
,,200,1,1,3.96,1,5,3.94,360.70,1,17,12,1,1,8,78,29.8,10000,23.7,,2015-04-02,070402
,,200,1,1,3.9,1,12,3.86,355.50,1,17,12,1,2,8,77.6,98,10000,23.6,,2015-04-02,070412
,,200,1,1,3.94,1,20,3.92,359.40,1,17,12,1,3,8,77.6,33,10000,23.6,,2015-04-02,070422
,,200,1,1,3.96,1,1,3.96,363.30,1,17,12,1,1,9,77.6,-28.8,10000,23.6,,2015-04-02,070432
,,200,1,1,3.96,1,1,3.96,361.90,1,16,12,1,1,9,77.6,0.6,10000,23.6,,2015-04-02,070442
,,200,1,1,3.96,1,3,3.94,362.00,1,16,12,1,3,8,77.6,1.2,10000,23.6,,2015-04-02,070452
,,200,1,1,3.96,1,20,3.94,361.90,1,17,12,1,1,8,77.6,0,10000,23.6,,2015-04-02,070502
,,200,1,1,3.94,1,1,3.94,360.30,1,17,12,1,1,8,77.6,24.9,10000,23.6,,2015-04-02,070512
,,200,1,1,3.94,1,60,3.92,360.20,1,17,12,1,2,8,77.2,23.4,10000,23.5,,2015-04-02,070522
