Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,43,3.94,1,1,3.92,358.50,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000006
,,200,1,43,3.94,1,1,3.92,358.50,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000016
,,200,1,43,3.94,1,1,3.92,358.60,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000026
,,200,1,43,3.94,1,1,3.92,358.60,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000036
,,200,1,3,3.94,1,1,3.92,358.60,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000046
,,200,1,4,3.94,1,1,3.92,358.60,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000056
,,200,1,4,3.94,1,1,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000106
,,200,1,3,3.94,1,1,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000116
,,200,1,3,3.94,1,1,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000126
,,200,1,4,3.94,1,1,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000136
,,200,1,3,3.94,1,1,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000146
,,200,1,1,3.94,1,2,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000156
,,200,1,1,3.94,1,2,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000206
,,200,1,1,3.94,1,2,3.92,358.70,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000216
,,200,1,3,3.94,1,1,3.92,358.80,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000226
,,200,1,1,3.94,1,2,3.92,358.80,1,5,18,1,1,15,66.4,-8.3,10000,20.3,,2015-04-02,000236
,,200,1,1,3.94,1,2,3.92,358.80,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000246
,,200,1,1,3.94,1,2,3.92,358.80,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000256
,,200,1,1,3.94,1,2,3.92,358.80,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000306
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000316
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000326
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000336
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000346
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000356
,,200,1,1,3.94,1,2,3.92,358.90,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000406
,,200,1,1,3.94,1,2,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000416
,,200,1,1,3.94,1,10,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000426
,,200,1,1,3.94,1,2,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000436
,,200,1,1,3.94,1,10,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000446
,,200,1,1,3.94,1,2,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000456
,,200,1,1,3.94,1,2,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000506
,,200,1,1,3.94,1,10,3.92,359.00,1,5,18,1,1,15,67.2,-8.3,10000,20.4,,2015-04-02,000516
,,200,1,1,3.94,1,10,3.92,359.10,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000526
,,200,1,1,3.94,1,10,3.92,359.10,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000536
,,200,1,1,3.94,1,10,3.92,359.10,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000546
,,200,1,1,3.94,1,30,3.92,359.10,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000556
,,200,1,1,3.94,1,18,3.92,359.10,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000606
,,200,1,1,3.94,1,18,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000616
,,200,1,1,3.94,1,18,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000627
,,200,1,1,3.94,1,18,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000637
,,200,1,1,3.94,1,77,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000647
,,200,1,1,3.94,1,67,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000657
,,200,1,1,3.94,1,87,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000707
,,200,1,1,3.94,1,87,3.92,359.20,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000717
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000727
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000737
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000747
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,67.6,-8.3,10000,20.6,,2015-04-02,000757
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000807
,,200,1,1,3.94,1,87,3.92,359.30,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000817
,,200,1,1,3.94,1,1,3.94,359.40,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000827
,,200,1,1,3.94,1,1,3.94,359.40,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000837
,,200,1,1,3.94,1,1,3.94,359.40,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000847
,,200,1,1,3.94,1,1,3.94,359.40,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000857
,,200,1,1,3.94,1,1,3.94,359.40,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000907
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000917
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000927
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000937
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000947
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,000957
,,200,1,1,3.94,1,1,3.94,359.50,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,001007
,,200,1,1,3.94,1,1,3.94,359.60,1,5,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,001017
,,200,1,1,3.94,1,1,3.94,359.60,1,8,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,001027
,,200,1,1,3.94,1,1,3.94,359.60,1,8,18,1,1,15,68,-8.3,10000,20.7,,2015-04-02,001037
,,200,1,1,3.94,1,1,3.94,359.60,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001047
,,200,1,1,3.94,1,1,3.94,359.60,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001057
,,200,1,1,3.94,1,1,3.94,359.60,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001107
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001117
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001127
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001137
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001147
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001157
,,200,1,1,3.94,1,1,3.94,359.70,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001207
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001217
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001227
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001237
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001247
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001257
,,200,1,1,3.94,1,1,3.94,359.80,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001307
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,1,15,68.4,-8.3,10000,20.8,,2015-04-02,001317
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,1,15,68.4,-8.3,10000,20.9,,2015-04-02,001327
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,1,15,68.4,-8.3,10000,20.9,,2015-04-02,001337
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,1,15,68.4,-8.3,10000,20.9,,2015-04-02,001347
,,200,1,1,3.94,1,1,3.94,360.00,1,8,18,1,1,15,68.4,-8.3,10000,20.9,,2015-04-02,001357
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001407
,,200,1,1,3.94,1,1,3.94,359.90,1,8,18,1,1,15,68.4,-8.3,10000,20.9,,2015-04-02,001417
,,200,1,1,3.94,1,1,3.94,360.00,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001427
,,200,1,1,3.94,1,1,3.94,360.00,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001437
,,200,1,1,3.94,1,1,3.94,360.00,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001447
,,200,1,1,3.94,1,1,3.94,360.10,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001457
,,200,1,1,3.94,1,1,3.94,360.00,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001507
,,200,1,1,3.94,1,1,3.94,360.10,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001517
,,200,1,1,3.94,1,1,3.94,360.10,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001527
,,200,1,1,3.94,1,1,3.94,360.10,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001537
,,200,1,1,3.94,1,1,3.94,360.10,1,8,18,1,14,14,68.4,-8.3,10000,20.9,,2015-04-02,001547
,,200,1,43,3.96,1,1,3.94,360.10,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001557
,,200,1,43,3.96,1,1,3.94,360.10,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001607
,,200,1,43,3.96,1,1,3.94,360.10,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001617
,,200,1,43,3.96,1,1,3.94,360.20,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001627
,,200,1,43,3.96,1,1,3.94,360.20,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001637
,,200,1,60,3.96,1,1,3.94,360.20,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001647
,,200,1,43,3.96,1,1,3.94,360.20,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001657
,,200,1,43,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001707
,,200,1,43,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001717
,,200,1,43,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001727
,,200,1,43,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001737
,,200,1,43,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001747
,,200,1,3,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001757
,,200,1,4,3.96,1,1,3.94,360.30,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001807
,,200,1,3,3.96,1,1,3.94,360.40,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001817
,,200,1,4,3.96,1,1,3.94,360.40,1,8,18,1,14,14,69.2,-8.3,10000,21.1,,2015-04-02,001827
,,200,1,1,3.96,1,2,3.94,360.40,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001837
,,200,1,3,3.96,1,1,3.94,360.40,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001847
,,200,1,1,3.96,1,2,3.94,360.40,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001857
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001907
,,200,1,1,3.96,1,2,3.94,360.40,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001917
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001927
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001937
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001947
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,001957
,,200,1,1,3.96,1,2,3.94,360.50,1,8,18,1,14,14,69.6,-8.3,10000,21.2,,2015-04-02,002007
