Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
,,200,1,1,0.0,1,1,0.0,.00,1,1,0,1,1,0,0,0,0,0,,2015-04-02,091242
,,200,1,1,0.0,1,1,0.0,.00,1,1,0,1,1,0,0,0,0,0,,2015-04-02,091300
,,200,1,1,0.0,1,1,0.0,.00,1,1,0,1,1,0,0,0,0,0,,2015-04-02,091359
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,2,7,93.2,0.7,10000,28.4,,2015-04-02,091409
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,091419
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,2,7,93.2,0.6,10000,28.4,,2015-04-02,091429
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,091439
,,200,1,1,4.1,1,1,4.1,370.60,1,18,11,1,2,7,93.2,0.6,10000,28.4,,2015-04-02,091449
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,091459
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,2,7,93.2,0.6,10000,28.4,,2015-04-02,091509
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,3,7,93.2,0.6,10000,28.4,,2015-04-02,091519
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,1,8,93.2,0.6,10000,28.4,,2015-04-02,091529
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,2,7,93.2,0.6,10000,28.4,,2015-04-02,091539
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,3,7,93.2,0.6,10000,28.4,,2015-04-02,091549
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,1,8,93.2,0.5,10000,28.4,,2015-04-02,091559
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,3,7,93.2,0.6,10000,28.4,,2015-04-02,091609
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,2,7,93.2,0.8,10000,28.4,,2015-04-02,091619
,,200,1,1,4.1,1,1,4.1,370.60,1,17,11,1,3,7,93.2,0.5,10000,28.4,,2015-04-02,091629
,,200,1,1,4.08,1,1,4.08,369.00,1,17,11,1,2,7,93.2,24.4,10000,28.4,,2015-04-02,091639
,,200,1,3,4.1,1,1,4.08,370.50,1,17,11,1,1,8,93.2,-1.5,10000,28.4,,2015-04-02,091649
,,200,1,3,4.1,1,1,4.08,370.30,1,17,11,1,2,7,93.2,-1.6,10000,28.4,,2015-04-02,091659
,,200,1,3,4.1,1,1,4.08,369.90,1,17,11,1,1,8,93.2,6.7,10000,28.4,,2015-04-02,091709
,,200,1,1,4.08,1,1,4.08,368.80,1,17,11,1,2,7,93.2,23.5,10000,28.4,,2015-04-02,091719
,,200,1,1,4.06,1,12,4.02,367.20,1,17,11,1,1,8,93.2,44.5,10000,28.4,,2015-04-02,091729
,,200,1,1,4.06,1,1,4.06,367.30,1,17,11,1,2,7,93.2,34.1,10000,28.4,,2015-04-02,091739
,,200,1,1,4.08,1,1,4.08,369.40,1,17,11,1,1,8,92.8,-0.5,10000,28.3,,2015-04-02,091749
,,200,1,1,4.1,1,10,4.08,369.90,1,17,11,1,2,7,92.8,-1.2,10000,28.3,,2015-04-02,091759
,,200,1,3,4.1,1,1,4.08,369.80,1,17,11,1,2,7,92.8,0.7,10000,28.3,,2015-04-02,091809
,,200,1,3,4.1,1,1,4.08,369.20,1,17,11,1,3,7,92.8,12,10000,28.3,,2015-04-02,091819
,,200,1,2,4.1,1,1,4.08,369.10,1,17,11,1,1,8,92.8,13.5,10000,28.3,,2015-04-02,091829
,,200,1,1,4.08,1,10,4.06,368.40,1,17,11,1,2,7,92.8,22.6,10000,28.3,,2015-04-02,091839
,,200,1,1,4.08,1,2,4.06,368.70,1,17,11,1,1,8,92.8,14.9,10000,28.3,,2015-04-02,091849
,,200,1,3,4.1,1,1,4.08,369.70,1,17,11,1,2,7,92.8,0.7,10000,28.3,,2015-04-02,091859
,,200,1,21,4.1,1,1,4.08,369.10,1,17,11,1,3,7,92.8,10.3,10000,28.3,,2015-04-02,091909
,,200,1,3,4.1,1,1,4.08,369.70,1,17,11,1,1,8,92.8,0.9,10000,28.3,,2015-04-02,091919
,,200,1,3,4.1,1,1,4.08,369.80,1,17,11,1,3,7,92.8,0.8,10000,28.3,,2015-04-02,091929
,,200,1,3,4.1,1,1,4.08,369.20,1,17,11,1,2,7,92.8,11.2,10000,28.3,,2015-04-02,091939
,,200,1,12,4.06,1,54,4.02,365.70,1,17,11,1,3,7,92.8,55.3,10000,28.3,,2015-04-02,091949
,,200,1,1,4.08,1,1,4.08,370.20,1,17,11,1,2,7,92.8,-19.6,10000,28.3,,2015-04-02,091959
,,200,1,43,4.1,1,1,4.08,369.40,1,17,11,1,1,8,92.8,0.8,10000,28.3,,2015-04-02,092009
,,200,1,12,4.04,1,40,3.98,364.80,1,17,11,1,1,8,92.4,64.6,10000,28.1,,2015-04-02,092019
